contract_id,vendor_id,item_name,category,contract_price,payment_terms,effective_date
CON000001,V0277,Safety Flow Meter Kit,Safety,318.19,Net45,2022-09-28
CON000002,V0123,Safety Transformer Oil Heavy Duty,Safety,537.39,Net60,2021-08-14
CON000003,V0133,Safety Pneumatic Cylinder,Safety,238.63,Net45,2021-10-21
CON000004,V0053,Mechanical Pressure Gauge Premium,Mechanical,3287.82,Net45,2024-12-19
CON000005,V0074,Instrumentation Steel Rod,Instrumentation,2947.73,Net30,2022-12-18
CON000006,V0333,Safety Lubricant Standard,Safety,465.4,Net60,2024-11-20
CON000007,V0307,Electrical Lubricant Heavy Duty,Electrical,2555.16,Net30,2024-03-06
CON000008,V0418,Safety Transformer Oil Premium,Safety,132.45,Net45,2022-05-20
CON000009,V0424,Mechanical Welding Rod Heavy Duty,Mechanical,848.85,Net30,2021-04-12
CON000010,V0034,Electrical Lubricant Heavy Duty,Electrical,2525.46,Net15,2022-02-06
CON000011,V0372,Mechanical Conveyor Belt,Mechanical,3382.57,Net30,2022-06-11
CON000012,V0499,Structural Copper Wire Premium,Structural,1906.79,Net60,2021-11-30
CON000013,V0021,Fluid Lubricant Standard,Fluid,270.34,Net15,2021-07-30
CON000014,V0364,Safety Hydraulic Pump Standard,Safety,98.48,Net15,2021-04-06
CON000015,V0337,Safety Welding Rod Kit,Safety,326.77,Net30,2024-12-21
CON000016,V0321,Mechanical Circuit Breaker Premium,Mechanical,3110.77,Net15,2021-11-14
CON000017,V0101,Fluid Flow Meter Kit,Fluid,239.42,Net60,2024-11-13
CON000018,V0314,Structural PVC Pipe Heavy Duty,Structural,784.98,Net60,2022-04-26
CON000019,V0155,Safety Hydraulic Pump Heavy Duty,Safety,51.1,Net15,2022-03-29
CON000020,V0052,Structural Transformer Oil,Structural,549.74,Net30,2023-10-08
CON000021,V0298,Safety Gearbox Premium,Safety,382.34,Net45,2021-10-10
CON000022,V0283,Structural Bearing Kit,Structural,1546.09,Net999,2024-08-10
CON000023,V0126,Safety Flow Meter Kit,Safety,351.64,Net30,2023-01-09
CON000024,,Electrical Copper Wire Premium,Electrical,1246.15,Net60,2022-10-27
CON000025,V0284,Electrical Gearbox Kit,Electrical,1960.46,Net45,2021-04-27
CON000026,V0309,Structural Lubricant,Structural,3358.44,Net15,2023-02-17
CON000027,V0159,Fluid Conveyor Belt Kit,Fluid,1445.52,Net60,2022-12-24
CON000028,V0386,Mechanical PVC Pipe Premium,Mechanical,1296.86,Net15,2021-04-19
CON000029,V0372,Structural Hydraulic Pump Premium,Structural,463.18,Net30,2022-02-17
CON000030,V0199,Instrumentation Transformer Oil Kit,Instrumentation,1978.28,Net60,2022-04-22
CON000031,V0383,Structural Copper Wire Standard,Structural,2774.71,Net30,2021-08-23
CON000032,V0466,Fluid Control Panel Premium,Fluid,2120.47,Net30,2023-04-11
CON000033,V0030,Instrumentation Copper Wire,Instrumentation,3971.03,Net60,2024-11-16
CON000034,V0004,Structural Copper Wire Premium,Structural,2109.26,Net30,2024-07-02
CON000035,V0440,Structural Safety Helmet Heavy Duty,Structural,1051.56,Net45,2024-04-15
CON000036,V0439,Electrical Copper Wire Premium,Electrical,1202.54,Net45,2023-06-13
CON000037,V0239,Electrical Steel Rod Kit,Electrical,608.28,Net45,2024-09-17
CON000038,,Fluid Safety Helmet Standard,Fluid,628.93,Net45,2021-04-19
CON000039,V0471,Mechanical PVC Pipe Premium,Mechanical,1322.0,Net15,2021-05-31
CON000040,V0382,Structural Flow Meter Premium,Structural,1721.65,Net15,2022-09-24
CON000041,V0081,Electrical Lubricant Heavy Duty,Electrical,2634.25,Net60,2023-08-14
CON000042,V0061,Mechanical Pressure Gauge Premium,Mechanical,3303.67,Net45,2022-08-25
CON000043,V0492,Structural Bearing Kit,Structural,1560.38,Net45,2023-01-06
CON000044,V0086,Mechanical PVC Pipe Premium,Mechanical,1287.48,Net15,2023-03-15
CON000045,V0440,Safety Conveyor Belt Standard,Safety,144.68,Net45,2024-02-09
CON000046,V0017,Mechanical Flow Meter,Mechanical,4047.99,Net60,2024-03-09
CON000047,,Structural Hydraulic Pump Premium,Structural,417.91,Net60,2023-03-25
CON000048,V0394,Instrumentation Industrial Paint Heavy Duty,Instrumentation,3647.04,Net30,2022-12-04
CON000049,V0107,Mechanical Safety Helmet Standard,Mechanical,2564.43,Net30,2023-07-01
CON000050,V0160,Structural Bearing Kit,Structural,1621.47,Net45,2022-03-08
CON000051,V0472,Electrical Gearbox Premium,Electrical,1143.29,Net15,2021-12-09
CON000052,V0329,Safety Welding Rod Kit,Safety,315.53,Net30,2023-11-01
CON000053,V0191,Structural Safety Helmet Heavy Duty,Structural,944.93,Net15,2024-05-27
CON000054,V0326,Instrumentation Transformer Oil Kit,Instrumentation,2136.7,Net60,2023-06-14
CON000055,V0452,Safety Transformer Oil Kit,Safety,463.99,Net60,2021-09-08
CON000056,V0277,Mechanical Pressure Gauge Premium,Mechanical,3290.27,Net45,2022-05-03
CON000057,V0251,Electrical Safety Helmet Kit,Electrical,1599.4,Net60,2022-05-16
CON000058,V0045,Electrical Steel Rod Standard,Electrical,1538.58,Net60,2022-10-22
CON000059,V0196,Structural Conveyor Belt Premium,Structural,399.04,Net15,2023-06-16
CON000060,V0273,Safety Lubricant Standard,Safety,457.76,Net30,2021-06-10
CON000061,V0180,Fluid Pneumatic Cylinder,Fluid,1991.44,Net15,2021-12-06
CON000062,V0189,Instrumentation Bearing Premium,Instrumentation,2848.14,Net15,2021-01-18
CON000063,V0120,Structural Pressure Gauge Standard,Structural,1590.37,Net15,2022-10-07
CON000064,V0427,Electrical Steel Rod Kit,Electrical,666.9,Net60,2021-01-31
CON000065,V0359,Safety Control Panel Kit,Safety,261.32,Net60,2022-03-01
CON000066,V0496,Fluid Safety Helmet Kit,Fluid,1580.46,Net45,2023-01-02
CON000067,V0135,Safety Hydraulic Pump Heavy Duty,Safety,54.63,Net30,2022-02-06
CON000068,V0005,Fluid Safety Helmet Premium,Fluid,136.67,Net15,2021-05-08
CON000069,V0113,Structural Bearing,Structural,1721.42,Net15,2023-06-26
CON000070,V0390,Safety Transformer Oil Premium,Safety,129.95,Net30,2021-03-10
CON000071,V0035,Fluid Safety Helmet Premium,Fluid,124.01,Net60,2023-07-07
CON000072,V0092,Safety Steel Rod Standard,Safety,185.49,Net60,2021-08-02
CON000073,V0367,Safety Gearbox Premium,Safety,398.06,Net45,2022-01-28
