po_id,vendor_id,item_name,quantity,po_date,region
PO000001,V0271,Structural Lubricant,148.0,2024-06-11 00:00:00,West
PO000002,V0046,Safety Gearbox Premium,151.0,2025-07-24 00:00:00,Central
PO000003,V0202,Mechanical Flow Meter,16.0,2024-10-04 00:00:00,North
PO000004,V0186,Mechanical Flow Meter,,2022-07-06 00:00:00,West
PO000005, V0130 ,Instrumentation Flow Meter Heavy Duty,316.0,2024-08-20 00:00:00,North
PO000006,V0362,Structural Copper Wire Premium,332.0,2023-12-14 00:00:00,East
PO000007,V0246,Electrical Steel Rod Kit,119.0,2024-04-16 00:00:00,North
PO000008,V0042,Safety Transformer Oil Premium,,2023-11-14 00:00:00,Central
PO000009,V0113,Instrumentation Flow Meter Heavy Duty,495.0,2023-10-20 00:00:00,West
PO000010,V0341,Structural Pressure Gauge Standard,303.0,2025-10-04 00:00:00,Central
PO000011,V0041,Fluid Conveyor Belt,69.0,2022-08-03 00:00:00,east
,V0429,Fluid Control Panel Premium,249.0,2022-11-26 00:00:00,North
PO000013,V0245,Instrumentation Safety Helmet,160.0,2023-11-07 00:00:00,South
PO000014,V0238,Mechanical Fasteners Heavy Duty,291.0,2024-04-23 00:00:00,Central
PO000015,V0294,Structural Conveyor Belt Premium,328.0,2025-11-21 00:00:00,North
PO000016,V0414,Mechanical Welding Rod Heavy Duty,321.0,2024-10-11 00:00:00,West
PO000017,V0173,Fluid Flow Meter Kit,150.0,2023-08-14 00:00:00,West
,V0340,Instrumentation Flow Meter Heavy Duty,255.0,2025-09-18 00:00:00,East
PO000019,V0279,Instrumentation Pneumatic Cylinder Premium,182.0,2024-03-31 00:00:00,North
PO000020,V0133,Mechanical Fasteners Premium,432.0,2025-01-31 00:00:00,East
PO000021,V0443,Electrical Gearbox Kit,281.0,2022-03-17 00:00:00,North
PO000022,V0400,Fluid Pneumatic Cylinder,46.0,2024-07-20 00:00:00,Central
PO000023,V0330,Mechanical Copper Wire Heavy Duty,319.0,2022-06-30 00:00:00,East
PO000024,,Structural Steel Rod Kit,247.0,2023-10-07 00:00:00,East
PO000025,V0439,Instrumentation Copper Wire,195.0,2023-06-01 00:00:00,South
PO000026,V0355,Instrumentation Pneumatic Cylinder Premium,98.0,2023-10-25 00:00:00,Central
PO000027,V0422,Fluid Bearing Premium,213.0,2022-08-26 00:00:00,South
PO000028,V0350,Mechanical Safety Helmet Standard,484.0,2024-04-07 00:00:00,North
PO000029,V0341,Instrumentation Fasteners,268.0,2024-11-19 00:00:00,Central
PO000030,V0309,Safety Welding Rod Kit,283.0,2022-01-03 00:00:00,East
PO000031,V0378,Structural Steel Rod Kit,63.0,2025-09-08 00:00:00,North
PO000032,V0082,Electrical Safety Helmet Kit,401.0,2025-01-16 00:00:00,South
PO000033,V0444,Instrumentation Pneumatic Cylinder Premium,302.0,2024-08-04 00:00:00,central
PO000034,V0440,Structural Pneumatic Cylinder Premium,48.0,2024-04-26 00:00:00,Central
PO000035,V0015,Fluid Pneumatic Cylinder,485.0,2022-04-22 00:00:00,South
PO000036,V0414,Safety Control Panel Heavy Duty,272.0,2023-01-20 00:00:00,West
PO000037,V0068,Instrumentation Circuit Breaker Standard,184.0,2024-11-27 00:00:00,East
PO000038,V0167,Safety Welding Rod Kit,129.0,2024-01-11 00:00:00,North
PO000039,V0375,Structural Valves Standard,428.0,2025-06-29 00:00:00,west
PO000040,V0083,Instrumentation Flow Meter Premium,257.0,2024-10-17 00:00:00,East
PO000041,V0411,Electrical Steel Rod Standard,219.0,2025-07-04 00:00:00,East
PO000042,,Electrical Steel Rod Kit,137.0,2024-06-24 00:00:00,South
PO000043,V0249,Safety Pneumatic Cylinder,352.0,2022-04-16 00:00:00,North
PO000044,V0004,Electrical Conveyor Belt Heavy Duty,24.0,2023-02-21 00:00:00,South
PO000045,V0144,Structural Pneumatic Cylinder Premium,119.0,2023-07-01 00:00:00,North
PO000046,V0308,Mechanical Pressure Gauge Premium,43.0,2025-01-29 00:00:00,Central
PO000047,V0492,Instrumentation Bearing,251.0,2022-09-26 00:00:00,Central
PO000048,V0316,Mechanical Electric Motor Premium,328.0,2023-08-13 00:00:00,South
PO000049,V0130,Safety Control Panel,129.0,2024-06-16 00:00:00,North
PO000050,V0318,Safety Steel Rod Standard,204.0,2025-12-01 00:00:00,West
PO000051,V0265,Fluid Bearing Premium,372.0,2024-09-19 00:00:00,West
PO000052, V0391 ,Instrumentation Transformer Oil Kit,300.0,2022-09-06 00:00:00,East
PO000053,V0055,Mechanical Electric Motor Premium,364.0,2022-03-01 00:00:00,South
PO000054,V0381,Safety Flow Meter Kit,101.0,2025-07-14 00:00:00,Central
PO000055,V0265,Fluid Conveyor Belt Kit,144.0,2025-05-31 00:00:00,West
PO000056,V0483,Safety Flow Meter Kit,144.0,2023-05-06 00:00:00,Central
PO000057,V0171,Electrical Gearbox Kit,289.0,2025-12-24 00:00:00,South
PO000058,V0317,Electrical Copper Wire Premium,193.0,2022-11-21 00:00:00,East
PO000059,V0468,Fluid Flow Meter Kit,62.0,2023-09-29 00:00:00,North
PO000060,V0053,Instrumentation Industrial Paint Heavy Duty,24.0,2025-02-02 00:00:00,East
PO000061,V0471,Instrumentation Bearing Premium,284.0,2022-01-29 00:00:00,East
PO000062,V0344,Electrical Steel Rod Kit,296.0,2025-02-05 00:00:00,Central
PO000063,V0036,Structural Pneumatic Cylinder Premium,69.0,2024-04-15 00:00:00,North
PO000064,V0152,Instrumentation Safety Helmet,396.0,2022-07-10 00:00:00,Central
PO000065,V0355,Mechanical Flow Meter Premium,,2023-04-06 00:00:00,Central
PO000066,V0036,Mechanical Pressure Gauge Premium,247.0,2022-08-21 00:00:00,North
PO000067,V0289,Fluid Safety Helmet Kit,325.0,2024-08-03 00:00:00,Central
PO000068,V0173,Structural Lubricant,433.0,2022-08-29 00:00:00,West
PO000069,V0311,Mechanical Electric Motor Standard,178.0,2025-08-19 00:00:00,South
PO000070,V0025,Electrical Pneumatic Cylinder Kit,201.0,2022-11-12 00:00:00,West
PO000071,V0440,Instrumentation Bearing Premium,264.0,2024-10-17 00:00:00,Central
PO000072,V0489,Instrumentation Flow Meter Premium,312.0,2023-08-21 00:00:00,East
PO000073,V0486,Safety Control Panel Kit,295.0,2024-11-08 00:00:00,Central
PO000074,V0377,Mechanical Circuit Breaker Premium,334.0,2025-12-15 00:00:00,North
PO000075,V0069,Structural Transformer Oil,241.0,2023-07-14 00:00:00,East
PO000076,V0380,Instrumentation Bearing Premium,96.0,2024-04-30 00:00:00,South
PO000077,V0013,Fluid Steel Rod Standard,35.0,2024-09-15 00:00:00,north
PO000078,V0012,Structural Transformer Oil,,2024-08-25 00:00:00,North
PO000079,V0161,Fluid Pneumatic Cylinder,322.0,2023-05-15 00:00:00,East
PO000080,V0242,Mechanical Fasteners Heavy Duty,221.0,2024-07-24 00:00:00,South
PO000081,V0386,Electrical Steel Rod,97.0,2025-02-02 00:00:00,South
PO000082,V0341,Structural Conveyor Belt Standard,470.0,2022-10-24 00:00:00,Central
PO000083,V0222,Mechanical Copper Wire Heavy Duty,418.0,2024-02-25 00:00:00,North
PO000084,V0135,Instrumentation Bearing,308.0,2023-01-26 00:00:00,east
PO000085,V0499,Instrumentation Copper Wire,428.0,2025-05-12 00:00:00,Central
PO000086,V0213,Mechanical Electric Motor Standard,396.0,2024-11-06 00:00:00,central
PO000087,V0224,Safety Transformer Oil Kit,458.0,2022-10-07 00:00:00,west
PO000088,V0085,Safety Gearbox Premium,29.0,2022-05-23 00:00:00,South
PO000089,V0398,Safety Pneumatic Cylinder Kit,126.0,2023-07-20 00:00:00,Central
PO000090,V0347,Structural Pneumatic Cylinder Premium,373.0,2024-04-29 00:00:00,south
PO000091,V0113,Instrumentation Hydraulic Pump Premium,150.0,2023-11-28 00:00:00,west
PO000092,V0043,Instrumentation Copper Wire,398.0,2024-11-05 00:00:00,East
PO000093,V0341,Safety Pneumatic Cylinder Kit,162.0,2023-07-02 00:00:00,Central
PO000094,V0328,Safety Pressure Gauge Premium,123.0,2022-01-06 00:00:00,South
PO000095,V0135,Structural Pneumatic Cylinder Premium,398.0,2023-08-03 00:00:00,East
PO000096,V0476,Fluid Lubricant Standard,328.0,2023-09-04 00:00:00,Central
PO000097,V0077,Structural Bearing Kit,243.0,2025-04-17 00:00:00,South
PO000098,V0217,Mechanical Fasteners Heavy Duty,40.0,2025-04-02 00:00:00,West
PO000099,V0473,Safety Transformer Oil Kit,49.0,2025-09-13 00:00:00,East
PO000100,V0209,Mechanical Pressure Gauge Premium,103.0,2024-09-29 00:00:00,South
PO000101,V0319,Structural Valves Standard,15.0,2022-11-01 00:00:00,East
PO000102,V0196,Electrical Transformer Oil Standard,209.0,2024-07-03 00:00:00,Central
PO000103,V0136,Electrical Conveyor Belt Standard,26.0,2025-01-08 00:00:00,West
PO000104,V0494,Instrumentation Steel Rod,307.0,2024-09-18 00:00:00,East
PO000105,V0202,Safety Lubricant Kit,298.0,2023-12-08 00:00:00,North
PO000106, V0451 ,Electrical Copper Wire Premium,115.0,2023-11-12 00:00:00,North
PO000107,V0118,Electrical Conveyor Belt Standard,463.0,2025-02-04 00:00:00,South
PO000108,V0109,Fluid Safety Helmet Standard,273.0,2025-01-17 00:00:00,East
PO000109,V0016,Safety Lubricant Kit,331.0,2024-02-12 00:00:00,South
PO000110,V0326,Structural Copper Wire Premium,225.0,2024-07-21 00:00:00,North
PO000111,V0184,Structural Valves Standard,248.0,2023-10-22 00:00:00,West
PO000112, V0437 ,Structural Steel Rod Kit,164.0,2023-01-22 00:00:00,North
PO000113,V0234,Fluid Control Panel Premium,136.0,2025-11-29 00:00:00,North
PO000114,V0486,Fluid Lubricant Standard,52.0,2023-05-05 00:00:00,Central
PO000115,V0097,Instrumentation Electric Motor Premium,58.0,2025-03-17 00:00:00,West
PO000116,V0439,Instrumentation Electric Motor Premium,373.0,2024-02-24 00:00:00,South
PO000117,V0388,Electrical Gearbox Kit,219.0,2023-04-24 00:00:00,south
PO000118,V0387,Fluid Bearing Premium,351.0,2024-04-21 00:00:00,west
PO000119,V0425,Safety Transformer Oil Premium,278.0,2022-03-31 00:00:00,South
PO000120,V0381,Structural Copper Wire Premium,64.0,2023-10-14 00:00:00,Central
PO000121,V0314,Mechanical Conveyor Belt,172.0,2024-08-26 00:00:00,East
PO000122,V0069,Electrical Conveyor Belt,321.0,2025-12-15 00:00:00,East
PO000123,V0017,Electrical Transformer Oil Standard,332.0,2024-02-20 00:00:00,Central
PO000124,V0464,Instrumentation Hydraulic Pump Premium,16.0,2024-03-01 00:00:00,North
PO000125,V0308,Mechanical PVC Pipe Premium,258.0,2025-09-21 00:00:00,Central
PO000126,V0399,Electrical Steel Rod,85.0,2025-08-28 00:00:00,West
PO000127,V0238,Fluid Control Panel Premium,100.0,2022-11-08 00:00:00,Central
PO000128,V0061,Safety Lubricant Kit,140.0,2024-10-11 00:00:00,South
PO000129,V0065,Structural Bearing,194.0,2022-03-17 00:00:00,West
PO000130,V0343,Safety Transformer Oil Premium,467.0,2022-09-16 00:00:00,north
PO000131,V0216,Mechanical Welding Rod Heavy Duty,181.0,2024-10-25 00:00:00,Central
PO000132,V0102,Safety Lubricant Kit,27.0,2025-04-23 00:00:00,Central
PO000133,V0243,Structural Pressure Gauge Standard,407.0,2023-11-11 00:00:00,East
PO000134,V0035,Instrumentation Copper Wire,445.0,2022-07-25 00:00:00,East
PO000135,V0289,Electrical Circuit Breaker,2.0,2024-06-20 00:00:00,Central
PO000136,V0135,Fluid Conveyor Belt,355.0,2022-07-24 00:00:00,East
PO000137,V0400,Electrical Lubricant Heavy Duty,494.0,2024-12-13 00:00:00,central
PO000138,V0154,Electrical Conveyor Belt,315.0,2024-07-24 00:00:00,north
PO000139,V0227,Safety Lubricant Standard,281.0,2022-02-01 00:00:00,West
PO000140,V0006,Instrumentation Copper Wire,388.0,2022-10-23 00:00:00,South
,V0039,Instrumentation Circuit Breaker Standard,238.0,2024-04-19 00:00:00,North
PO000142,V0194,Safety Lubricant Kit,476.0,2025-09-02 00:00:00,North
PO000143,V0238,Safety Conveyor Belt,224.0,2022-11-13 00:00:00,Central
PO000144,V0298,Mechanical Electric Motor Premium,,2022-06-03 00:00:00,Central
PO000145,V0147,Electrical Steel Rod,122.0,2024-08-19 00:00:00,central
PO000146,V0348,Safety Pneumatic Cylinder Kit,19.0,2023-06-27 00:00:00,east
PO000147,V0435,Safety Welding Rod Kit,210.0,2023-11-25 00:00:00,East
PO000148,V0391,Safety Welding Rod Kit,151.0,2025-06-30 00:00:00,East
PO000149,V0021,Fluid Safety Helmet Standard,2.0,2025-11-19 00:00:00,South
PO000150,V0238,Electrical PVC Pipe Kit,202.0,2024-03-25 00:00:00,Central
PO000151,V0054,Instrumentation Fasteners,318.0,2025-08-23 00:00:00,Central
PO000152,V0125,Mechanical Electric Motor Standard,157.0,2022-06-14 00:00:00,West
PO000153,V0495,Mechanical Fasteners Premium,429.0,2023-11-04 00:00:00,West
PO000154,V0073,Electrical Conveyor Belt Standard,397.0,2025-10-13 00:00:00,Central
PO000155,V0247,Instrumentation Fasteners,206.0,2024-12-28 00:00:00,West
PO000156,V0309,Structural Bearing Kit,331.0,2024-02-18 00:00:00,east
